Rank,Title,Score,YouTube URL,Status
1,https://www.youtube.com/watch?v=-553lTJsw8g,,https://www.youtube.com/watch?v=-553lTJsw8g,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
2,The Far Door,54,https://www.youtube.com/watch?v=-65nJ9iYS9A,ok
3,NEXUS - FutureVision XPRIZE Short Film,16,https://www.youtube.com/watch?v=-W0l6ki_DgY,ok
4,Future Vision XPRIZE: Mirror // Loop,54,https://www.youtube.com/watch?v=-ZHbKwKl1R8,ok
5,EMPATHI by Phara33,39,https://www.youtube.com/watch?v=-gWmNRvnfTk,ok
6,https://www.youtube.com/watch?v=-kbgckeUSVs,,https://www.youtube.com/watch?v=-kbgckeUSVs,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
7,https://www.youtube.com/watch?v=-tQaltYYTmE,,https://www.youtube.com/watch?v=-tQaltYYTmE,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
8,https://www.youtube.com/watch?v=-vhJYKPtBdg,,https://www.youtube.com/watch?v=-vhJYKPtBdg,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
9,https://www.youtube.com/watch?v=-xQIRoL6YxU,,https://www.youtube.com/watch?v=-xQIRoL6YxU,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
10,https://www.youtube.com/watch?v=-xTOhbWFw4E,,https://www.youtube.com/watch?v=-xTOhbWFw4E,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
11,The Last Billionaire,48,https://www.youtube.com/watch?v=01EIaBmx0lo,ok
12,Outback Horizon Trailer,52,https://www.youtube.com/watch?v=02aUrxAXrkU,ok
13,Under the Same Sky,39,https://www.youtube.com/watch?v=06HWhayMbqM,ok
14,The Future is for Everyone,54,https://www.youtube.com/watch?v=09sfq5RiFGg,ok
15,The Oneironaut - Future Vision XPRIZE,54,https://www.youtube.com/watch?v=0AskDPcUQHI,ok
16,https://www.youtube.com/watch?v=0B8csOjcHlU,,https://www.youtube.com/watch?v=0B8csOjcHlU,"error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
17,THE LAST ARCHEOLOGIST,51,https://www.youtube.com/watch?v=0DAmGcenjbY,ok
18,https://www.youtube.com/watch?v=0KZa1zScwBQ,,https://www.youtube.com/watch?v=0KZa1zScwBQ,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
19,Singularity - Future Vision XPRIZE Trailer,50,https://www.youtube.com/watch?v=0L5vvM-KoQI,ok
20,Intense Interrogation Scene,-7,https://www.youtube.com/watch?v=0OHL3gxe2k4,ok
21,Coherence,51,https://www.youtube.com/watch?v=0R3WVOcqnGw,ok
22,Fastship: Forward,32,https://www.youtube.com/watch?v=0R7PLs-Bwaw,ok
23,Future Vision XPRIZE,54,https://www.youtube.com/watch?v=0gHYOs95OpY,ok
24,https://www.youtube.com/watch?v=0ldMGT_FpAo,,https://www.youtube.com/watch?v=0ldMGT_FpAo,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
25,Scout: Book 1 and 2 Character Arc,54,https://www.youtube.com/watch?v=0uuGVAQI01g,ok
26,https://www.youtube.com/watch?v=12XjsbnmT5U,,https://www.youtube.com/watch?v=12XjsbnmT5U,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
27,Mosaic: A Future Vision XPRIZE Film,27,https://www.youtube.com/watch?v=132vUe_sR1w,ok
28,A Short Film About Life in The Nest,54,https://www.youtube.com/watch?v=18ff8JEzowU,ok
29,https://www.youtube.com/watch?v=1DX4kw3BwYI,,https://www.youtube.com/watch?v=1DX4kw3BwYI,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
30,https://www.youtube.com/watch?v=1DcjupsXv7s,,https://www.youtube.com/watch?v=1DcjupsXv7s,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
31,OBZAV: Building Optimistic Visions of the Future,38,https://www.youtube.com/watch?v=1E-rorFo50k,ok
32,ZERO POINT FIFTY - Future Vision XPRIZE,40,https://www.youtube.com/watch?v=1IALHamr9Iw,ok
33,Fortress Eternal,54,https://www.youtube.com/watch?v=1MZkdLLQZ8Y,ok
34,https://www.youtube.com/watch?v=1NjJ3DPmXXo,,https://www.youtube.com/watch?v=1NjJ3DPmXXo,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
35,HORIZON,37,https://www.youtube.com/watch?v=1Pr1c4bxr84,ok
36,JANUS - A Sci-Fi Short Film,15,https://www.youtube.com/watch?v=1Q8Vt-r7WRk,ok
37,https://www.youtube.com/watch?v=1ZUmHP9W4Ys,,https://www.youtube.com/watch?v=1ZUmHP9W4Ys,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
38,https://www.youtube.com/watch?v=1bON_G6e_m4,,https://www.youtube.com/watch?v=1bON_G6e_m4,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
39,The Origin Protocols,44,https://www.youtube.com/watch?v=1epQvRVyBOE,ok
40,A Beautiful Future,51,https://www.youtube.com/watch?v=1gaLSP6I05Q,ok
41,https://www.youtube.com/watch?v=1q4B7m2Tcj8,,https://www.youtube.com/watch?v=1q4B7m2Tcj8,"error: 400 INVALID_ARGUMENT. {'error': {'code': 400, 'message': 'The input token count exceeds the maximum number of tokens allowed 1048576.', 'status': 'INVALID_ARGUMENT'}}"
42,NEVARA - Future Vision XPRIZE,52,https://www.youtube.com/watch?v=2G01CbpTdaA,ok
43,BLUE TO MARS,54,https://www.youtube.com/watch?v=2bFr4he1jVI,ok
44,Casconal: A Future Vision XPRIZE Film,54,https://www.youtube.com/watch?v=2cvWRFBcHCU,ok
45,https://www.youtube.com/watch?v=2krWtMEoMe0,,https://www.youtube.com/watch?v=2krWtMEoMe0,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
46,Two Minds One Road: A Human-AI Collaboration Story,25,https://www.youtube.com/watch?v=2qzyyqIQ-nk,ok
47,The Autobiography of Astra Girl V,54,https://www.youtube.com/watch?v=35WD4sW3NAI,ok
48,Humanity's Last Exam,52,https://www.youtube.com/watch?v=3eXDBZ_md4Y,ok
49,TRANSITUS THE CROSSING BEGINS,50,https://www.youtube.com/watch?v=3lGFef0dIac,ok
50,The New Axial: A Story of Scientific Breakthrough,51,https://www.youtube.com/watch?v=3pdFi8tiDQ0,ok
51,AI and Consciousness Inquiry,0,https://www.youtube.com/watch?v=3s4BqrPXMfs,ok
52,The Messengers - Future Vision XPRIZE,-3,https://www.youtube.com/watch?v=3zLPBGMJU5Q,ok
53,The Future Was Yesterday,54,https://www.youtube.com/watch?v=41EZG15dQ9c,ok
54,Future Vision XPRIZE: Building Optimistic Visions of the Future,53,https://www.youtube.com/watch?v=441yV2zsW7Y,ok
55,Awaken Wilder - Future Vision XPRIZE Trailer,51,https://www.youtube.com/watch?v=4AfEiFyTvSM,ok
56,https://www.youtube.com/watch?v=4CDQ0GaDDeI,,https://www.youtube.com/watch?v=4CDQ0GaDDeI,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
57,Spaceship Flying Over Alien Landscape,9,https://www.youtube.com/watch?v=4DpxKtElGdA,ok
58,https://www.youtube.com/watch?v=4Qd3HrleUbM,,https://www.youtube.com/watch?v=4Qd3HrleUbM,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
59,A Vision of Humanity's Future,51,https://www.youtube.com/watch?v=4Vzm8u62_TA,ok
60,Future Vision XPRIZE: The Bee Mission,39,https://www.youtube.com/watch?v=4W_wunGXmd0,ok
61,The Exponentials: Building Optimistic Visions of the Future,52,https://www.youtube.com/watch?v=4brKezLKBko,ok
62,The Last Days (Nook and Cranny) - Future Vision XPRIZE,22,https://www.youtube.com/watch?v=4dwjyjh5t8w,ok
63,APOTHEOSIS - Future Vision XPRIZE,44,https://www.youtube.com/watch?v=4qSMvNSiiS4,ok
64,https://www.youtube.com/watch?v=4yV2Thp1KhE,,https://www.youtube.com/watch?v=4yV2Thp1KhE,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
65,2060 The Last Leaf,26,https://www.youtube.com/watch?v=4yuVe7FfzYw,ok
66,The Future We Build,43,https://www.youtube.com/watch?v=580WagMbn6c,ok
67,On The 8th Day - Future Vision XPRIZE,51,https://www.youtube.com/watch?v=5CQsPIeMgig,ok
68,https://www.youtube.com/watch?v=5EXV9mj6tGg,,https://www.youtube.com/watch?v=5EXV9mj6tGg,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
69,THE WHEEL,53,https://www.youtube.com/watch?v=5NScSKI5ctQ,ok
70,Letters From Mars: Future Vision XPRIZE,54,https://www.youtube.com/watch?v=5OnXo2-tdIw,ok
71,What We Make Possible,53,https://www.youtube.com/watch?v=5PaIowpL3DY,ok
72,https://www.youtube.com/watch?v=5WRiIKGTcO8,,https://www.youtube.com/watch?v=5WRiIKGTcO8,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
73,The Future of Work,51,https://www.youtube.com/watch?v=5Zl-pwKtP50,ok
74,A Wish for Water,43,https://www.youtube.com/watch?v=5hPLbWqc6Vs,ok
75,A Vision for Humanity's Future,40,https://www.youtube.com/watch?v=5lqvaunJV90,ok
76,PULSE - Future Vision XPRIZE Trailer,26,https://www.youtube.com/watch?v=5pZ39JJI1Zg,ok
77,BLAST RADIUS,27,https://www.youtube.com/watch?v=5vYsWMJ1MjU,ok
78,https://www.youtube.com/watch?v=5xt73A4hfjY,,https://www.youtube.com/watch?v=5xt73A4hfjY,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
79,https://www.youtube.com/watch?v=62PPy_hAToA,,https://www.youtube.com/watch?v=62PPy_hAToA,"error: 1 validation error for VideoAnalysisResult
  Invalid JSON: EOF while parsing a string at line 2 column 62151 [type=json_invalid, input_value='{\n  ""video_url"": ""https...2_2_2_2_2_2_2_2_2_2_2_2', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/json_invalid"
80,https://www.youtube.com/watch?v=67zz9s9gYXw,,https://www.youtube.com/watch?v=67zz9s9gYXw,"error: 403 PERMISSION_DENIED. {'error': {'code': 403, 'message': 'The caller does not have permission', 'status': 'PERMISSION_DENIED'}}"
81,ROCIO: A Concept by Michael Vang,12,https://www.youtube.com/watch?v=69HNmo2xnOQ,ok
